sov_line_id,project_id,project_name,line_number,description,scheduled_value,budgeted_labor,budgeted_material,total_budget,actual_labor_cost,actual_hours,actual_material_cost,total_actual_cost,total_billed,pct_complete,approved_co_value,pending_cos,realized_margin_pct,labor_variance_pct,material_variance_pct
PRJ-2019-113-SOV-11,PRJ-2019-113,Kansas City Middle School - HVAC Systems,11,Controls - Programming & Commissioning,149100,64700,32000,96700,254282.3000000003,3034.0,47060.060000000005,301342.36000000034,145600,97.7,543500.0,0,-102.11,293.02,47.06
PRJ-2019-113-SOV-09,PRJ-2019-113,Kansas City Middle School - HVAC Systems,9,Equipment - Terminal Units (VAV/FCU),311300,44400,0,196700,400946.4500000001,4736.0,224003.74999999997,624950.2000000001,310900,99.9,543500.0,0,-100.75,803.03,
PRJ-2021-318-SOV-09,PRJ-2021-318,Boston Middle School - HVAC Systems,9,Equipment - Terminal Units (VAV/FCU),147200,23200,0,128500,179477.83000000025,2132.0,113501.22,292979.0500000003,146900,99.8,200700.0,0,-99.03,673.61,
PRJ-2021-260-SOV-05,PRJ-2021-260,Nashville Mixed-Income Housing - Climate Control,5,Piping - Hydronic Systems,238200,94900,45100,140000,396300.5700000009,4622.0,72900.37999999999,469200.9500000009,238000,99.9,214600.0,0,-96.98,317.6,61.64
PRJ-2019-152-SOV-02,PRJ-2019-152,Phoenix Mixed-Use Tower - Mechanical,2,Submittals & Engineering,60400,30100,13300,43400,118549.23000000014,1386.0,0.0,118549.23000000014,60400,100.0,200000.0,0,-96.27,293.85,-100.0
PRJ-2018-052-SOV-01,PRJ-2018-052,Richmond Mixed-Use Tower - Mechanical,1,General Conditions & Project Management,222500,158300,59000,217300,436420.3899999999,5094.0,0.0,436420.3899999999,222500,100.0,246700.0,0,-96.14,175.69,-100.0
PRJ-2021-318-SOV-02,PRJ-2021-318,Boston Middle School - HVAC Systems,2,Submittals & Engineering,71500,46300,29100,75400,139868.39000000025,1584.0,0.0,139868.39000000025,71500,100.0,200700.0,0,-95.62,202.09,-100.0
PRJ-2021-283-SOV-11,PRJ-2021-283,Richmond High School - New Construction,11,Controls - Programming & Commissioning,98700,66000,31400,97400,157905.53000000023,1866.0,33466.979999999996,191372.51000000024,96200,97.5,287300.0,0,-93.89,139.25,6.58
PRJ-2020-203-SOV-09,PRJ-2020-203,San Antonio High School - New Construction,9,Equipment - Terminal Units (VAV/FCU),386600,67300,0,306600,416679.31000000035,4822.0,327874.97,744554.2800000003,386300,99.9,926000.0,0,-92.59,519.14,
PRJ-2022-322-SOV-09,PRJ-2022-322,Kansas City Corporate Campus - HVAC Systems,9,Equipment - Terminal Units (VAV/FCU),360100,44800,0,262700,386256.45000000077,4444.0,302747.95999999996,689004.4100000007,359800,99.9,547500.0,0,-91.34,762.18,
PRJ-2021-243-SOV-09,PRJ-2021-243,Columbus Middle School - HVAC Systems,9,Equipment - Terminal Units (VAV/FCU),272800,68700,0,300300,292778.06,3412.0,222319.15,515097.20999999996,272300,99.8,572300.0,0,-88.82,326.17,
PRJ-2022-322-SOV-11,PRJ-2022-322,Kansas City Corporate Campus - HVAC Systems,11,Controls - Programming & Commissioning,160900,81300,36100,117400,253116.2600000005,2926.0,50256.77,303373.0300000005,157100,97.6,547500.0,0,-88.55,211.34,39.22
PRJ-2021-315-SOV-09,PRJ-2021-315,Baltimore Mixed-Income Housing - Climate Control,9,Equipment - Terminal Units (VAV/FCU),432500,107400,0,470500,449241.7000000009,5150.0,363310.1,812551.8000000009,432100,99.9,888300.0,0,-87.87,318.29,
PRJ-2023-383-SOV-11,PRJ-2023-383,Pittsburgh High School - New Construction,11,Controls - Programming & Commissioning,111700,60200,34400,94600,174037.97000000023,1968.0,35316.03,209354.00000000023,108900,97.5,182300.0,0,-87.43,189.1,2.66
PRJ-2021-315-SOV-11,PRJ-2021-315,Baltimore Mixed-Income Housing - Climate Control,11,Controls - Programming & Commissioning,187100,119200,60500,179700,288360.28000000055,3266.0,60569.03999999999,348929.32000000053,182400,97.5,888300.0,0,-86.49,141.91,0.11
PRJ-2018-055-SOV-01,PRJ-2018-055,Oklahoma City Mixed-Income Housing - Climate Control,1,General Conditions & Project Management,320100,201900,125300,327200,588803.59,6834.0,0.0,588803.59,320100,100.0,867600.0,0,-83.94,191.63,-100.0
PRJ-2023-383-SOV-09,PRJ-2023-383,Pittsburgh High School - New Construction,9,Equipment - Terminal Units (VAV/FCU),196600,47800,0,201100,200263.25000000035,2286.0,157420.19999999998,357683.4500000003,196400,99.9,182300.0,0,-81.93,318.96,
PRJ-2021-283-SOV-09,PRJ-2021-283,Richmond High School - New Construction,9,Equipment - Terminal Units (VAV/FCU),196300,31100,0,186600,190592.2900000003,2158.0,165673.93000000002,356266.2200000003,195700,99.7,287300.0,0,-81.49,512.84,
PRJ-2020-203-SOV-11,PRJ-2020-203,San Antonio High School - New Construction,11,Controls - Programming & Commissioning,199600,108800,63700,172500,270310.32000000036,3116.0,87343.24,357653.56000000035,194900,97.6,926000.0,0,-79.19,148.45,37.12
PRJ-2019-113-SOV-15,PRJ-2019-113,Kansas City Middle School - HVAC Systems,15,Closeout Documentation & Training,37100,14600,10000,24600,66092.91999999995,764.0,0.0,66092.91999999995,36300,97.8,543500.0,0,-78.15,352.69,-100.0
PRJ-2018-052-SOV-11,PRJ-2018-052,Richmond Mixed-Use Tower - Mechanical,11,Controls - Programming & Commissioning,109100,69300,35400,104700,156542.0800000002,1724.0,36928.85,193470.9300000002,106600,97.7,246700.0,0,-77.33,125.89,4.32
PRJ-2019-113-SOV-05,PRJ-2019-113,Kansas City Middle School - HVAC Systems,5,Piping - Hydronic Systems,259200,115200,63000,178200,362049.84000000043,4164.0,92731.34,454781.1800000004,259000,99.9,543500.0,0,-75.46,214.28,47.19
PRJ-2019-153-SOV-02,PRJ-2019-153,Indianapolis Middle School - HVAC Systems,2,Submittals & Engineering,109200,59900,36200,96100,190495.32000000015,2176.0,0.0,190495.32000000015,109200,100.0,1328800.0,0,-74.45,218.02,-100.0
PRJ-2019-128-SOV-01,PRJ-2019-128,Kansas City High School - New Construction,1,General Conditions & Project Management,254900,140400,91900,232300,439657.8900000002,5110.0,0.0,439657.8900000002,254900,100.0,133700.0,0,-72.48,213.15,-100.0
PRJ-2019-128-SOV-11,PRJ-2019-128,Kansas City High School - New Construction,11,Controls - Programming & Commissioning,122500,70100,36900,107000,173722.8200000002,2056.0,37536.34,211259.1600000002,119300,97.4,133700.0,0,-72.46,147.82,1.72
PRJ-2022-325-SOV-09,PRJ-2022-325,Minneapolis Apartment Complex - MEP,9,Equipment - Terminal Units (VAV/FCU),320600,81100,0,323300,319498.95000000007,3712.0,232881.89,552380.8400000001,319700,99.7,670700.0,0,-72.3,293.96,
PRJ-2018-055-SOV-02,PRJ-2018-055,Oklahoma City Mixed-Income Housing - Climate Control,2,Submittals & Engineering,138700,88600,56300,144900,238800.94000000032,2712.0,0.0,238800.94000000032,138700,100.0,867600.0,0,-72.17,169.53,-100.0
PRJ-2021-315-SOV-02,PRJ-2021-315,Baltimore Mixed-Income Housing - Climate Control,2,Submittals & Engineering,154400,115700,39100,154800,264725.85000000044,3064.0,0.0,264725.85000000044,154400,100.0,888300.0,0,-71.45,128.8,-100.0
PRJ-2020-185-SOV-02,PRJ-2020-185,Baltimore Apartment Complex - MEP,2,Submittals & Engineering,92700,62300,37100,99400,157652.24000000025,1800.0,0.0,157652.24000000025,92700,100.0,188300.0,0,-70.07,153.05,-100.0
PRJ-2019-113-SOV-06,PRJ-2019-113,Kansas City Middle School - HVAC Systems,6,Piping - Refrigerant,154900,75600,37900,113500,206868.6500000002,2356.0,55822.810000000005,262691.4600000002,154800,99.9,543500.0,0,-69.59,173.64,47.29
PRJ-2018-050-SOV-09,PRJ-2018-050,Boston Senior Living - HVAC Upgrade,9,Equipment - Terminal Units (VAV/FCU),238300,63200,0,250000,203862.06000000017,2322.0,198281.87,402143.93000000017,237900,99.8,334700.0,0,-68.76,222.57,
PRJ-2019-103-SOV-02,PRJ-2019-103,Kansas City Middle School - HVAC Systems,2,Submittals & Engineering,123500,92100,43600,135700,208299.71000000022,2430.0,0.0,208299.71000000022,123500,100.0,778100.0,0,-68.66,126.17,-100.0
PRJ-2018-052-SOV-09,PRJ-2018-052,Richmond Mixed-Use Tower - Mechanical,9,Equipment - Terminal Units (VAV/FCU),284600,76900,0,307600,238993.38000000027,2832.0,240717.9,479711.28000000026,283600,99.6,246700.0,0,-68.56,210.78,
PRJ-2019-113-SOV-03,PRJ-2019-113,Kansas City Middle School - HVAC Systems,3,Ductwork - Fabrication,281600,129000,66300,195300,376345.0300000006,4378.0,97637.70000000001,473982.7300000006,281200,99.9,543500.0,0,-68.32,191.74,47.27
PRJ-2019-154-SOV-01,PRJ-2019-154,Las Vegas Colocation Facility - HVAC,1,General Conditions & Project Management,406800,246500,107300,353800,682064.1699999999,7930.0,0.0,682064.1699999999,406800,100.0,575500.0,0,-67.67,176.7,-100.0
PRJ-2019-152-SOV-09,PRJ-2019-152,Phoenix Mixed-Use Tower - Mechanical,9,Equipment - Terminal Units (VAV/FCU),185800,35700,0,134100,179787.67000000022,2110.0,131273.07,311060.7400000002,185200,99.7,200000.0,0,-67.42,403.61,
PRJ-2019-143-SOV-11,PRJ-2019-143,Indianapolis Middle School - HVAC Systems,11,Controls - Programming & Commissioning,125200,74700,57300,132000,153631.18000000025,1778.0,55544.37,209175.55000000025,121900,97.4,246100.0,0,-67.07,105.66,-3.06
PRJ-2022-325-SOV-11,PRJ-2022-325,Minneapolis Apartment Complex - MEP,11,Controls - Programming & Commissioning,148600,96000,45000,141000,202370.64000000016,2396.0,43269.06,245639.70000000016,144800,97.4,670700.0,0,-65.3,110.8,-3.85
PRJ-2020-184-SOV-11,PRJ-2020-184,San Antonio Cloud Campus Phase 1 - Cooling,11,Controls - Programming & Commissioning,223600,139400,88400,227800,272243.4300000002,3162.0,96685.67,368929.1000000002,218400,97.7,958500.0,0,-65.0,95.3,9.37
PRJ-2020-184-SOV-09,PRJ-2020-184,San Antonio Cloud Campus Phase 1 - Cooling,9,Equipment - Terminal Units (VAV/FCU),471100,78600,0,436900,383608.52000000025,4430.0,391889.45999999996,775497.9800000002,470800,99.9,958500.0,0,-64.61,388.05,
PRJ-2020-184-SOV-02,PRJ-2020-184,San Antonio Cloud Campus Phase 1 - Cooling,2,Submittals & Engineering,149900,80900,47500,128400,245589.9200000003,2818.0,0.0,245589.9200000003,149900,100.0,958500.0,0,-63.84,203.57,-100.0
PRJ-2021-260-SOV-10,PRJ-2021-260,Nashville Mixed-Income Housing - Climate Control,10,Controls - DDC/BAS Installation,164100,65600,41300,106900,202122.57000000033,2314.0,66662.99,268785.56000000035,160300,97.7,214600.0,0,-63.79,208.11,61.41
PRJ-2020-185-SOV-09,PRJ-2020-185,Baltimore Apartment Complex - MEP,9,Equipment - Terminal Units (VAV/FCU),249200,75200,0,287900,199055.35000000036,2276.0,207951.75,407007.1000000003,248900,99.9,188300.0,0,-63.33,164.7,
PRJ-2021-269-SOV-09,PRJ-2021-269,Indianapolis Edge Data Center - Thermal Management,9,Equipment - Terminal Units (VAV/FCU),432000,79200,0,374300,378386.88000000035,4488.0,326434.93,704821.8100000003,431600,99.9,1011600.0,0,-63.15,377.76,
PRJ-2021-283-SOV-01,PRJ-2021-283,Richmond High School - New Construction,1,General Conditions & Project Management,216400,129600,64000,193600,352016.4000000003,4146.0,0.0,352016.4000000003,216400,100.0,287300.0,0,-62.67,171.62,-100.0
PRJ-2019-103-SOV-01,PRJ-2019-103,Kansas City Middle School - HVAC Systems,1,General Conditions & Project Management,371900,226800,120700,347500,604388.3700000008,6966.0,0.0,604388.3700000008,371900,100.0,778100.0,0,-62.51,166.49,-100.0
PRJ-2021-243-SOV-01,PRJ-2021-243,Columbus Middle School - HVAC Systems,1,General Conditions & Project Management,328100,202300,136300,338600,531018.6000000001,6112.0,0.0,531018.6000000001,328100,100.0,572300.0,0,-61.85,162.49,-100.0
PRJ-2019-154-SOV-11,PRJ-2019-154,Las Vegas Colocation Facility - HVAC,11,Controls - Programming & Commissioning,192600,142000,52100,194100,260125.5400000005,3080.0,50833.32000000001,310958.8600000005,187700,97.5,575500.0,0,-61.45,83.19,-2.43
PRJ-2023-399-SOV-09,PRJ-2023-399,Louisville Edge Data Center - Thermal Management,9,Equipment - Terminal Units (VAV/FCU),501100,72700,0,462400,384802.2200000006,4424.0,417147.01999999996,801949.2400000006,500600,99.9,1875200.0,0,-60.04,429.3,
PRJ-2021-260-SOV-08,PRJ-2021-260,Nashville Mixed-Income Housing - Climate Control,8,Equipment - Chillers/Boilers,263700,46100,0,171900,214041.08000000005,2464.0,203026.91,417067.99000000005,263300,99.8,214600.0,0,-58.16,364.3,
PRJ-2023-383-SOV-01,PRJ-2023-383,Pittsburgh High School - New Construction,1,General Conditions & Project Management,251800,180800,68100,248900,397452.35,4568.0,0.0,397452.35,251800,100.0,182300.0,0,-57.84,119.83,-100.0
PRJ-2021-318-SOV-15,PRJ-2021-318,Boston Middle School - HVAC Systems,15,Closeout Documentation & Training,26000,16100,9700,25800,41029.33999999999,488.0,0.0,41029.33999999999,25400,97.7,200700.0,0,-57.81,154.84,-100.0
PRJ-2021-260-SOV-04,PRJ-2021-260,Nashville Mixed-Income Housing - Climate Control,4,Ductwork - Installation,283500,110500,67300,177800,336416.0200000004,3974.0,108651.33,445067.35000000044,283100,99.9,214600.0,0,-56.99,204.45,61.44
PRJ-2022-372-SOV-09,PRJ-2022-372,Pittsburgh Business Center - MEP Systems,9,Equipment - Terminal Units (VAV/FCU),503000,110500,0,480200,380876.23000000004,4426.0,405563.84,786440.0700000001,501800,99.8,314900.0,0,-56.35,244.68,
PRJ-2020-163-SOV-11,PRJ-2020-163,Nashville High School - New Construction,11,Controls - Programming & Commissioning,198200,153400,90100,243500,223005.0800000003,2618.0,86631.73,309636.8100000003,193600,97.7,1874200.0,0,-56.22,45.37,-3.85
PRJ-2019-113-SOV-04,PRJ-2019-113,Kansas City Middle School - HVAC Systems,4,Ductwork - Installation,324900,149000,78500,227500,388831.17000000016,4516.0,115484.45999999999,504315.6300000001,324600,99.9,543500.0,0,-55.22,160.96,47.11
PRJ-2019-143-SOV-01,PRJ-2019-143,Indianapolis Middle School - HVAC Systems,1,General Conditions & Project Management,215400,165800,78900,244700,331464.0700000005,3786.0,0.0,331464.0700000005,215400,100.0,246100.0,0,-53.88,99.92,-100.0
PRJ-2019-113-SOV-12,PRJ-2019-113,Kansas City Middle School - HVAC Systems,12,Insulation,171800,68300,0,161700,206837.47000000018,2366.0,57153.18000000001,263990.6500000002,167800,97.7,543500.0,0,-53.66,202.84,
PRJ-2018-055-SOV-09,PRJ-2018-055,Oklahoma City Mixed-Income Housing - Climate Control,9,Equipment - Terminal Units (VAV/FCU),423800,65100,0,352200,340708.11,3968.0,309676.67,650384.78,423300,99.9,867600.0,0,-53.47,423.36,
PRJ-2019-154-SOV-09,PRJ-2019-154,Las Vegas Colocation Facility - HVAC,9,Equipment - Terminal Units (VAV/FCU),538500,161900,0,623600,374331.37000000034,4298.0,449704.04000000004,824035.4100000004,537700,99.9,575500.0,0,-53.02,131.21,
PRJ-2018-053-SOV-11,PRJ-2018-053,Las Vegas High School - New Construction,11,Controls - Programming & Commissioning,127100,68600,54600,123200,137770.54000000015,1578.0,56622.079999999994,194392.62000000014,123700,97.3,303500.0,0,-52.94,100.83,3.7
PRJ-2021-268-SOV-11,PRJ-2021-268,Raleigh Unified School District - HVAC Modernization,11,Controls - Programming & Commissioning,80500,53800,33800,87600,86399.75999999998,946.0,36214.13,122613.88999999998,78500,97.5,69300.0,0,-52.32,60.59,7.14
PRJ-2020-173-SOV-09,PRJ-2020-173,Boston Middle School - HVAC Systems,9,Equipment - Terminal Units (VAV/FCU),209200,42100,0,192900,162011.08000000025,1826.0,155672.12000000002,317683.2000000003,208400,99.6,366100.0,0,-51.86,284.82,
PRJ-2019-153-SOV-01,PRJ-2019-153,Indianapolis Middle School - HVAC Systems,1,General Conditions & Project Management,353300,233700,153400,387100,535571.3599999996,6348.0,0.0,535571.3599999996,353300,100.0,1328800.0,0,-51.59,129.17,-100.0
PRJ-2021-294-SOV-11,PRJ-2021-294,Pittsburgh Colocation Facility - HVAC,11,Controls - Programming & Commissioning,266900,164900,104500,269400,289838.20000000054,3332.0,114397.78,404235.98000000056,260400,97.6,1019900.0,0,-51.46,75.77,9.47
PRJ-2019-153-SOV-11,PRJ-2019-153,Indianapolis Middle School - HVAC Systems,11,Controls - Programming & Commissioning,180000,115900,78500,194400,193347.43000000025,2192.0,79215.73999999999,272563.1700000003,175600,97.6,1328800.0,0,-51.42,66.82,0.91
PRJ-2021-243-SOV-02,PRJ-2021-243,Columbus Middle School - HVAC Systems,2,Submittals & Engineering,113800,78000,42600,120600,171452.63000000012,2012.0,0.0,171452.63000000012,113800,100.0,572300.0,0,-50.66,119.81,-100.0
PRJ-2020-213-SOV-11,PRJ-2020-213,Richmond Middle School - HVAC Systems,11,Controls - Programming & Commissioning,94700,61600,43900,105500,99795.0400000001,1198.0,42064.63,141859.6700000001,92200,97.4,211900.0,0,-49.8,62.0,-4.18
PRJ-2021-295-SOV-09,PRJ-2021-295,Sacramento Apartment Complex - MEP,9,Equipment - Terminal Units (VAV/FCU),545700,114700,0,524900,401486.4099999997,4662.0,409436.22,810922.6299999997,544900,99.9,1012100.0,0,-48.6,250.03,
PRJ-2019-128-SOV-09,PRJ-2019-128,Kansas City High School - New Construction,9,Equipment - Terminal Units (VAV/FCU),246800,50100,0,225600,188180.9600000004,2142.0,178429.95,366610.9100000004,246300,99.8,133700.0,0,-48.55,275.61,
PRJ-2018-055-SOV-11,PRJ-2018-055,Oklahoma City Mixed-Income Housing - Climate Control,11,Controls - Programming & Commissioning,185600,120300,48000,168300,223779.26000000042,2560.0,51776.12,275555.3800000004,181100,97.6,867600.0,0,-48.47,86.02,7.87
PRJ-2022-348-SOV-09,PRJ-2022-348,Nashville High School - New Construction,9,Equipment - Terminal Units (VAV/FCU),211400,47100,0,217600,136259.16000000018,1586.0,177491.63,313750.79000000015,211300,100.0,182900.0,0,-48.42,189.3,
PRJ-2019-152-SOV-11,PRJ-2019-152,Phoenix Mixed-Use Tower - Mechanical,11,Controls - Programming & Commissioning,113400,62400,21300,83700,139572.78000000023,1630.0,28400.25,167973.03000000023,110500,97.4,200000.0,0,-48.12,123.67,33.33
PRJ-2018-048-SOV-11,PRJ-2018-048,Boston Unified School District - HVAC Modernization,11,Controls - Programming & Commissioning,193200,97700,67200,164900,209582.24000000037,2426.0,74566.33,284148.57000000036,188700,97.7,545200.0,0,-47.07,114.52,10.96
PRJ-2021-283-SOV-02,PRJ-2021-283,Richmond High School - New Construction,2,Submittals & Engineering,89400,59000,29600,88600,131153.42000000022,1502.0,0.0,131153.42000000022,89400,100.0,287300.0,0,-46.7,122.29,-100.0
PRJ-2020-225-SOV-01,PRJ-2020-225,Salt Lake City Residential Tower - HVAC Systems,1,General Conditions & Project Management,325600,198800,105100,303900,477132.30000000045,5478.0,0.0,477132.30000000045,325600,100.0,574700.0,0,-46.54,140.01,-100.0
PRJ-2021-303-SOV-09,PRJ-2021-303,Nashville Unified School District - HVAC Modernization,9,Equipment - Terminal Units (VAV/FCU),563300,132800,0,556600,366611.4700000001,4346.0,458347.67,824959.1400000001,562500,99.9,497500.0,0,-46.45,176.06,
PRJ-2020-185-SOV-01,PRJ-2020-185,Baltimore Apartment Complex - MEP,1,General Conditions & Project Management,236700,138900,85900,224800,346537.12000000017,3982.0,0.0,346537.12000000017,236700,100.0,188300.0,0,-46.4,149.49,-100.0
PRJ-2020-205-SOV-09,PRJ-2020-205,Atlanta Apartment Complex - MEP,9,Equipment - Terminal Units (VAV/FCU),631800,124300,0,647600,396423.51000000036,4570.0,514296.86000000004,910720.3700000003,631300,99.9,565000.0,0,-44.15,218.92,
PRJ-2018-008-SOV-01,PRJ-2018-008,Louisville High School - New Construction,1,General Conditions & Project Management,440400,316500,196400,512900,634366.6499999997,7270.0,0.0,634366.6499999997,440400,100.0,1265300.0,0,-44.04,100.43,-100.0
PRJ-2019-103-SOV-09,PRJ-2019-103,Kansas City Middle School - HVAC Systems,9,Equipment - Terminal Units (VAV/FCU),547500,123600,0,601400,322068.43000000017,3760.0,464833.9100000001,786902.3400000003,546400,99.8,778100.0,0,-43.73,160.57,
PRJ-2018-050-SOV-01,PRJ-2018-050,Boston Senior Living - HVAC Upgrade,1,General Conditions & Project Management,277400,181100,100600,281700,397892.5600000001,4600.0,0.0,397892.5600000001,277400,100.0,334700.0,0,-43.44,119.71,-100.0
PRJ-2018-026-SOV-09,PRJ-2018-026,Las Vegas Surgery Center - Climate Control,9,Equipment - Terminal Units (VAV/FCU),482500,83400,0,444300,294758.40000000055,3382.0,396767.62,691526.0200000005,482100,99.9,700500.0,0,-43.32,253.43,
PRJ-2020-225-SOV-09,PRJ-2020-225,Salt Lake City Residential Tower - HVAC Systems,9,Equipment - Terminal Units (VAV/FCU),429200,105500,0,424900,287157.6900000005,3278.0,327348.54,614506.2300000004,428900,99.9,574700.0,0,-43.17,172.19,
PRJ-2020-203-SOV-12,PRJ-2020-203,San Antonio High School - New Construction,12,Insulation,193600,88800,0,201800,219171.88000000032,2550.0,57997.66999999999,277169.55000000034,189000,97.6,926000.0,0,-43.17,146.82,
PRJ-2020-173-SOV-01,PRJ-2020-173,Boston Middle School - HVAC Systems,1,General Conditions & Project Management,203100,131400,66600,198000,289991.69999999995,3394.0,0.0,289991.69999999995,203100,100.0,366100.0,0,-42.78,120.69,-100.0
PRJ-2018-013-SOV-01,PRJ-2018-013,Indianapolis Unified School District - HVAC Modernization,1,General Conditions & Project Management,261000,165800,78800,244600,372416.04000000027,4298.0,0.0,372416.04000000027,261000,100.0,313800.0,0,-42.69,124.62,-100.0
PRJ-2020-180-SOV-09,PRJ-2020-180,Kansas City Senior Living - HVAC Upgrade,9,Equipment - Terminal Units (VAV/FCU),504900,124600,0,457800,364164.0300000003,4232.0,356081.69999999995,720245.7300000002,504400,99.9,1672000.0,0,-42.65,192.27,
PRJ-2019-122-SOV-09,PRJ-2019-122,Denver Office Park - Core & Shell MEP,9,Equipment - Terminal Units (VAV/FCU),225900,42000,0,228500,140272.43000000023,1622.0,180892.21000000002,321164.64000000025,225000,99.6,-15900.0,0,-42.17,233.98,
